Movie Name,Year,User Rating
Error Fatal,2016,10
Peerless Hero,2018,10
What is it for a man to gain the world and lose his soul,2020,9.9
Gain the World,2020,9.8
Ji Su Ying Jiu,2020,9.7
Suvarna Sundari,2019,9.6
Tezhongbingguilai 2,2019,9.4
Ek,2019,9.3
Tebaatusasula,2010,9.2
Lost Treasure of Jesse James,2020,9.2
Bukunja Tekunja Mitti: The Cannibals,2012,9.2
The Memory of A Killer,2019,9.2
Fury Blade,2004,9.1
Aama,1964,9.1
Tippu,2015,9
Carding Estrabel: Tirador Ng Malabon,1985,9
Dragonfly,2013,9
Rescue Team,2011,9
Sniper,2020,9
Mission Extreme,2020,9
The Dark Knight,2008,9
Lastik Man,1965,9
Ramayana: The Legend of Prince Rama,1992,9
Ninja Cowboy Viking vs. the GadgetGents,2017,8.9
Ride Hard: Live Free,2020,8.9
Blade of Enforcer,2016,8.9
Tiempo Limite Para Morir,2017,8.9
Seemana,1996,8.9
Taandro,2015,8.9
Man on Mission Taqatwar,2005,8.9
Zhanshen Chiyou,2017,8.9
Main Hoon Khiladiyon Ka Khiladi,2004,8.9
Until the Day I Die: Part 2,2016,8.9
Black,I 2012,8.9
Martial Science,2013,8.9
Bare Knuckle,2014,8.9
Fang Shiyu's Thousand Faces Shura,2019,8.9
The Untouchable Family,1988,8.9
Sri Krishnanjaneya Yuddham,1972,8.9
Kireedam,1989,8.9
The Lord of the Rings: The Return of the King,2003,8.9
Joe: The Black Assassin,2017,8.8
Meant to Be Broken,2018,8.8
Butt Te Bhatti,2003,8.8
PAY: Tire-d'Elles,2017,8.8
Rapid Reaction Corps 2,2014,8.8
Kill Bill: The Whole Bloody Affair,2011,8.8
Dag II,2016,8.8
A Cartel Story,2015,8.8
Toxin: 700 Days Left on Earth,2015,8.8
