Movie Name,Year,User Rating
O Leo psahnei talento en etei 2015!! Live Performance,2015,10
Gharamat AlFaqr,2015,10
Gebore Talente,2018,9.8
Hope for the Holidays,2020,9.6
The Bible: A Brickfilm - Part One,2020,9.5
The Santa Box,2020,9.4
Dhakad Chhora,2004,9.3
Jibon Theke Neya,1970,9.3
Lost Treasure of Jesse James,2020,9.2
A Carolina Christmas,2020,9.2
The Other Half,I 2019,9.1
Little Baby,2019,9.1
This Day Forward,2018,9.1
Maya Bazaar,1957,9.1
Kanyadaan,2002,9
Natsamrat,2016,9
Spooky Tales,2009,9
The Child King,2007,9
We Three Kings,2020,9
Grihalakshmi - The Awakening,2019,9
Fillim i vështirë,1986,9
Surau dan Silek,2017,8.9
Le Clandestin,1989,8.9
Le jour du père,2014,8.9
Dipu Number 2,1996,8.9
All You Can Dream,2012,8.9
Ikko Mikke,2020,8.9
Isa-dalawa-tatlo: Ang tatay kong kalbo,1979,8.9
Süt Kardesler,1976,8.9
Heerak Rajar Deshe,1980,8.9
Escola das Artes - o Filme,2018,8.8
Restore,2018,8.8
Super Science Showcase,2019,8.8
Virtual Trek Wildlife Park,2011,8.8
Dying Candle,2016,8.8
Evening Crackling Campfire,2008,8.8
Flashback,III 2011,8.8
The Book and the Cover,2009,8.8
Thayige Takka Maga,1978,8.8
Chhupam Chhaai,2016,8.8
Princezna zakletá v case,2020,8.8
Goopy Gyne Bagha Byne,1969,8.8
On the Border,1930,8.8
Jaws of Steel,1927,8.8
Ananthu V/S Nusrath,2018,8.7
Gauru: Journey of Courage,2016,8.7
Pipsi: A Bottle Full of Hope,2018,8.7
The Steed,2019,8.7
Kaasav: Turtle,2016,8.7
Carry on Kesar,2017,8.7
