Movie Name,Year,User Rating
Red,XI 2020,9.9
Notuku Potu,2017,9.5
Isha,2020,9.4
Killer BBQ,2019,9.4
Follow the Dead,2020,9.1
The Exorcism in Amarillo,2020,9.1
Psycho Ape!,2020,9
Bocas,2019,8.9
Initiation,II 2020,8.9
Aiyai: Wrathful Soul,2020,8.9
Nexus of Evil,2020,8.9
Kain Kafan Hitam,2019,8.8
Toxin: 700 Days Left on Earth,2015,8.8
Rebirth,II 2020,8.8
Chhupam Chhaai,2016,8.8
The Head,2019,8.7
Waiting for death,2020,8.7
Siren head,2020,8.7
South of Hell,2019,8.7
Manichitrathazhu,1993,8.7
Undead Silence,2016,8.6
Phantom of the Opera at the London Coliseum,2017,8.6
Flesh and Blood a Go! Go!,2017,8.6
Shhh!,1993,8.6
Take 2: The Audition,2015,8.6
Falseland,2013,8.6
The Games That Children Play,2014,8.6
Kasambahay,2008,8.6
Afflatus,2019,8.6
Chinnada Gombe,2018,8.6
Hymns of Abarise - Megan,2019,8.5
Opening the Mind,2019,8.5
Orchard Beach,2019,8.5
Death App,2016,8.5
Gateseven,2016,8.5
ZombieSlackers,2006,8.5
Natural Demise,2010,8.5
Holland Road Massacre: The Legend of Pigman,2020,8.5
Kaaal,2020,8.5
Psycho,1960,8.5
Praana,2019,8.4
Hôkago senki,2018,8.4
And Then It Goes Dark,2019,8.4
The Crocodile,2005,8.4
Bloody Bobby,2016,8.4
Snooze,III 2020,8.4
Virtual Attack,2020,8.4
Uncommon Bond,2020,8.4
The Horn,I 2020,8.4
Post,2019,8.4
